Gap,C??,Merit6,Gapcoin,Date,Digits,Gapstart,
3584,C??,18.801295,Gapcoin,21-10-2014,83,61299517711241420914063952255250655291609363286037512102776730255003186740451229839,
3636,C??,19.046145,Gapcoin,21-10-2014,83,81075201263274212188185267170860705674429560439188069986634439806249691523892510921,
3724,C??,19.467935,Gapcoin,21-10-2014,84,119045974186392297689400183569634140949164737920402481504895232972630213194490671833,
3594,C??,18.800608,Gapcoin,21-10-2014,84,105070429964949636259406209145284725802789839978436403564466371464756303254534175909,
3446,C??,18.021609,Gapcoin,21-10-2014,84,110552362895390631608120498210448173485228572257398202558321720293665917121583332257,
3502,C??,18.326140,Gapcoin,21-10-2014,83,97882068753806711257911454029747546232100865746677971248551795372392559169828384257,
4044,C??,21.189839,Gapcoin,21-10-2014,83,76461879716867367630900156157138551275541753321391943939866820443807309523058253019,
3614,C??,18.930947,Gapcoin,21-10-2014,83,81040202768273069713571715754196012072955397985718349064879361268239400174861512119,
3582,C??,18.790438,Gapcoin,21-10-2014,83,61526830124053501795632887316633253176367670174263811818051009972936155165223719241,
3762,C??,19.706268,Gapcoin,21-10-2014,83,80990483979229728291249128018512987266690923960568628288975293370214693426797679431,
3618,C??,18.964114,Gapcoin,21-10-2014,83,71664224935681586377096747787327913915414091301430061195214502890568469498428687133,
